gender,age,profession,body_type,skin_tone,height_category,personality,occasion,season,budget,color_preference,sustainability_preference,trend_interest,target_style
Male,19,Manager,Athletic,Wheatish,Short,Calm,Brunch,Autumn,26912,Neutral,0,Low,Minimal Chic
Male,32,Student,Athletic,Medium,Short,Professional,Casual,Spring,32432,Neutral,1,Medium,Minimal Chic
Female,27,Designer,Average,Fair,Short,Professional,Brunch,Summer,33885,Pastel,1,Low,Minimal Chic
Female,52,Doctor,Curvy,Fair,Tall,Professional,Casual,Autumn,23150,Neutral,0,High,Minimal Chic
Male,36,Doctor,Athletic,Fair,Medium,Professional,Casual,Autumn,33666,Pastel,0,Medium,Minimal Chic
Female,31,Manager,Slim,Wheatish,Tall,Calm,Brunch,Summer,26216,Pastel,0,High,Minimal Chic
Female,21,Designer,Slim,Dark,Medium,Professional,Brunch,Spring,34960,Pastel,0,High,Minimal Chic
Female,43,Freelancer,Athletic,Dark,Short,Calm,Casual,Autumn,29577,Pastel,1,Medium,Minimal Chic
Male,26,Freelancer,Slim,Fair,Short,Calm,Brunch,Autumn,26916,Neutral,1,Medium,Minimal Chic
Female,51,Manager,Slim,Fair,Tall,Professional,Casual,Spring,24808,Pastel,0,Medium,Minimal Chic
Male,34,Engineer,Slim,Dark,Tall,Calm,Brunch,Summer,32492,Neutral,0,High,Minimal Chic
Female,49,Student,Slim,Dark,Medium,Calm,Brunch,Spring,34385,Neutral,0,High,Minimal Chic
Female,22,Engineer,Athletic,Medium,Tall,Calm,Casual,Autumn,34293,Pastel,0,High,Minimal Chic
Male,37,Entrepreneur,Average,Medium,Tall,Professional,Brunch,Spring,23681,Neutral,1,Low,Minimal Chic
Male,55,Designer,Slim,Fair,Tall,Calm,Brunch,Spring,34834,Neutral,1,Low,Minimal Chic
Male,35,Freelancer,Athletic,Wheatish,Tall,Professional,Brunch,Summer,33230,Pastel,0,Low,Minimal Chic
Male,60,Entrepreneur,Average,Medium,Medium,Professional,Brunch,Autumn,30706,Neutral,0,Medium,Minimal Chic
Female,24,Designer,Athletic,Wheatish,Tall,Professional,Brunch,Summer,23006,Pastel,1,Low,Minimal Chic
Male,46,Doctor,Slim,Fair,Short,Calm,Brunch,Summer,27956,Pastel,0,Medium,Minimal Chic
Male,28,Entrepreneur,Slim,Medium,Medium,Professional,Casual,Summer,31412,Pastel,0,Low,Minimal Chic
Female,31,Student,Slim,Dark,Short,Calm,Casual,Autumn,33970,Neutral,0,High,Minimal Chic
Male,29,Doctor,Slim,Wheatish,Medium,Calm,Brunch,Autumn,29740,Neutral,0,Medium,Minimal Chic
Female,34,Designer,Average,Wheatish,Medium,Professional,Brunch,Autumn,30575,Pastel,1,Medium,Minimal Chic
Male,18,Freelancer,Slim,Fair,Tall,Calm,Casual,Spring,25718,Neutral,0,Medium,Minimal Chic
Female,28,Freelancer,Average,Fair,Tall,Professional,Brunch,Spring,24333,Neutral,0,High,Minimal Chic
Male,35,Manager,Athletic,Dark,Short,Professional,Casual,Summer,34833,Neutral,0,High,Minimal Chic
Female,35,Student,Slim,Dark,Short,Professional,Brunch,Autumn,27239,Pastel,0,Low,Minimal Chic
Male,27,Student,Average,Wheatish,Medium,Calm,Brunch,Summer,25974,Neutral,1,Low,Minimal Chic
Male,60,Doctor,Average,Medium,Tall,Calm,Brunch,Spring,33105,Neutral,1,Low,Minimal Chic
Male,39,Entrepreneur,Athletic,Dark,Short,Calm,Casual,Spring,34067,Pastel,0,Low,Minimal Chic
Female,40,Manager,Athletic,Wheatish,Short,Calm,Casual,Summer,24564,Neutral,1,Medium,Minimal Chic
Female,52,Lawyer,Slim,Fair,Medium,Calm,Casual,Spring,21776,Pastel,1,High,Minimal Chic
Female,45,Doctor,Curvy,Wheatish,Medium,Calm,Casual,Spring,28518,Neutral,1,Medium,Minimal Chic
Male,60,Lawyer,Average,Fair,Tall,Professional,Casual,Autumn,26691,Pastel,1,High,Minimal Chic
Female,53,Engineer,Athletic,Medium,Tall,Professional,Brunch,Autumn,29324,Pastel,1,High,Minimal Chic
Male,37,Manager,Athletic,Medium,Tall,Professional,Casual,Summer,27244,Neutral,1,High,Minimal Chic
Male,60,Doctor,Average,Dark,Short,Calm,Casual,Spring,33214,Neutral,0,Low,Minimal Chic
Male,33,Freelancer,Slim,Medium,Medium,Calm,Casual,Summer,26547,Neutral,0,High,Minimal Chic
Male,24,Entrepreneur,Athletic,Wheatish,Tall,Professional,Brunch,Autumn,24082,Neutral,1,Low,Minimal Chic
Female,60,Lawyer,Curvy,Medium,Tall,Professional,Brunch,Autumn,34114,Pastel,1,Medium,Minimal Chic
Male,58,Manager,Curvy,Wheatish,Medium,Professional,Brunch,Autumn,24681,Neutral,1,Medium,Minimal Chic
Female,52,Doctor,Athletic,Wheatish,Short,Professional,Brunch,Autumn,23505,Neutral,1,Medium,Minimal Chic
